Final annotation,Text,English Translation
Non Misogynistic,মেয়েটা ইতিহাস বিষয়ে এতটাই দক্ষ যে অধ্যাপক তার নোট সবাইকে দেখান।,Loading...
Derogation,"মেয়েটা অফিসে সারাদিন অন্যদের নিয়ে কথা বলে, কাজ করে না।",Loading...
Non Misogynistic,দিদির বচন সকলকে মুগ্ধ করে,Loading...
Sexual Harassment,"আপুটা দেখতে সেক্সি মাল, খেলে আরো মজা",Loading...
Derogation,মেয়েটার অগোছালো জীবনযাপন দেখলে মাথা ঘোরে।,Loading...
Non Misogynistic,"মেয়েটা যদি অবিচারের শিকার হয়, তাহলে আইনি সহায়তা তার অধিকার।","If a girl is a victim of injustice, she has the right to legal assistance."
Sexual Harassment,আহ্! কি অপূর্ব পাহাড় ভাগ্য তো তাহার যে করিয়াছে আহার,Loading...
Derogation,মেয়েটার সাংস্কৃতিক জ্ঞান নেই বললেই চলে,Loading...
Non Misogynistic,মহিলা স্ক্রিপ্ট রাইটার গল্পকে জীবন্ত করে তোলেন,Loading...
Stereotype,ফ্যাশনদুরস্ত মেয়েরা সচরাচর বেশি সাজগোজ মানেই দৃষ্টি কুড়ানোর ধান্ধা।,Loading...
Derogation,এই মেয়েটার সমালোচনা সহ্য করার ক্ষমতা নেই,Loading...
Non Misogynistic,মেয়েটার এই কথাটা শুনে মনে হলো বড় হওয়া মানেই দায়িত্ববোধ,Loading...
Sexual Harassment,মহিলাটি দুধের সাইজ অনুযায় দাম বেশি চেয়েছে,Loading...
Non Misogynistic,এই মেয়েটি নিজের কাজ নিজেই করতে পছন্দ করে,Loading...
Stereotype,"যুগ যুগ ধরে দেখে আসছি, বিয়েই তাদের জীবনের একমাত্র সফলতা।","For ages, we have seen that marriage is the only success in their lives."
Stereotype,মেয়েরা আবেগ দিয়ে সিদ্ধান্ত নেয় তাই বেশি ভুল হয়।,Loading...
Derogation,মেয়েটার মুখের সামনে গেলে কাঁচা পেঁয়াজ খেয়ে বসে আছে।,Loading...
Derogation,"তুমি নষ্ট প্রোডাক্ট, মার্কেটে চলবে না",Loading...
Non Misogynistic,মেয়েটির হাতের ক্ষীর মুগ্ধ করে,Loading...
Stereotype,"দেখো, বাঙালি মেয়েদের উচিত নিজের চেয়ে পরিবারের সম্মানকে বড় ভাবা।",Loading...
Non Misogynistic,মেয়েটি বিভিন্ন মতামতের সম্মিলন তৈরি করতে পারেন,Loading...
Stereotype,মেয়েরা সাধারণত প্রযুক্তি বিষয়ে তেমন ভালো না,Loading...
Derogation,"এই বেডির পায়ের যত্ন নেই, চটি পরলেও পা বিশ্রী লাগে।",Loading...
Sexual Harassment,"বেলি ডান্স দিলে আরো ভালো লাগত, সব কিছু নাড়ানো দেখতাম",Loading...
Sexual Harassment,"আপুটি এতটুকু কাপড়ের কী দরকার, বিকিনি পরে নামলে আরো ভাইরাল হতে",Loading...
Derogation,মেয়েটাকে হরর মুভির ভুত এর মতো লাগে,Loading...
Sexual Harassment,এই সুন্দরী ব্রা না পরে একটু নাচো না একটু দেখব,Loading...
Derogation,আফা আপনে কি গাঞ্জা খাইছেন নাকি?,Loading...
Non Misogynistic,মহিলা মানবিক সহায়তা কর্মীটি শরণার্থী শিবিরে অক্লান্তভাবে কাজ করছেন।,Loading...
Derogation,তোর মত জিনিস গুলশান এ রাতে ল্যাম্পপোস্টের নিচে দাঁড়ায় থাকে,Loading...
Derogation,মেয়েটা বিপদে কাউকে সাহায্য করে না কিন্তু সুবিধায় এগিয়ে আসে,Loading...
Stereotype,মেয়েদের ইনকাম এর রাস্তাই হলো বুক প্রদর্শন করা,Loading...
Sexual Harassment,মামণি ব্লাউজের ডিজাইন সামনে দিয়ে কাটলে আরো জস লাগত,Loading...
Stereotype,নারীদের বুদ্ধি বরাবরই ছেলেদের চেয়ে এক ধাপ পিছনে,Loading...
Stereotype,"রান্নাঘরটা আসলে মেয়েদের জায়গা, ওটাই মেয়েদের সাথে যায়",Loading...
Non Misogynistic,"মেয়েটা বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় প্রথম হয়েছে, পরিশ্রমের ফল পেয়েছে।",Loading...
Non Misogynistic,ওকে দেখতে অনেক ভদ্র স্বভাব এর মেয়ে মনে হচ্ছে,Loading...
Derogation,বাল ছিঁড়া অভিনেত্রী ঠিক মতো বগল পরিস্কার করে না।,Loading...
Non Misogynistic,মেয়েটা প্রতিটা কাজে নিজস্ব ছাপ রাখে,Loading...
Derogation,এই মহিলার রিপোর্ট পড়লে মনে হয় ছাত্রের হোমওয়ার্ক।,Loading...
Non Misogynistic,প্রতিটি মেয়ে তার নিজস্ব মূল্য বোঝার এবং সেটা ধরে রাখার ক্ষমতা রাখে।,Loading...
Derogation,স্লিম হয়ে কি হবে মেয়েটাকে হাতির মতোই দেখতে লাগবে,Loading...
Stereotype,নারী সাংবাদিকতা মানেই যত সব আজাইরা নিউজ,Loading...
Stereotype,মেয়েরা অফিসে কান্নাকাটি করে পরিবেশ নষ্ট করে,Loading...
Stereotype,বেশিরভাগ মেয়েরাই বিয়ের পর মোটা হয়ে যায়,Loading...
Derogation,আরে তুই তো বাজারের মেয়েদের থেকেও খারাপ,Loading...
Sexual Harassment,আমি আপনাকে করতে চাই,Loading...
Sexual Harassment,"ভাবি, ১৮+ ভিডিও দেখতে চাই",Loading...
Non Misogynistic,মেয়েটার অ্যাথলেটিক দক্ষতা দেখে কোচরা অবাক।,Loading...
Derogation,"মেয়েটাকে তালাক হওয়ার পরে আবার ভালো সঙ্গী খোঁজে, আমরা কি বোকা?",Loading...
Non Misogynistic,মেয়েদের শিক্ষায় বিনিয়োগ সবচেয়ে বেশি লাভজনক সামাজিক বিনিয়োগ।,Loading...
Non Misogynistic,মেয়েদের সমান সুযোগ ও মর্যাদা একটি আধুনিক সমাজের অপরিহার্য শর্ত।,Loading...
Non Misogynistic,মেয়েটার প্রতিটি সংকটে একটা নতুন শক্তি খুঁজে পাওয়ার ক্ষমতা আছে।,Loading...
Non Misogynistic,নারীর আত্মমর্যাদা সমাজের অলংকার,Loading...
Derogation,"ওর স্বামী ছেড়ে দিয়েছে ঠিকই আছে, কে সহ্য করতে পারবে?",Loading...
Non Misogynistic,"মেয়েটার আত্মবিশ্বাস পরিবেশ থেকে আসে না, নিজের ভেতর থেকে আসে।",Loading...
Sexual Harassment,"এই সুন্দরীর পাহাড় এত বড় কীভাবে, কতজন টিপেছে?",Loading...
Non Misogynistic,মেয়েটার সরলতা মুখের সৌন্দর্য বাড়িয়ে দেয়,Loading...
Non Misogynistic,দিদি পুরো বাড়িকে নতুন করে গুছিয়েছে,Loading...
Sexual Harassment,"আপু , কাপড়টা একটু খুলে দেখাও",Loading...
Non Misogynistic,"মেয়েটা অর্থনীতিবিদ, তার মানে ভালোই শিক্ষিত।",Loading...
Stereotype,আসলে হোটেলে একা চেক-ইন করা মেয়েদের প্রতি কর্মচারীরা সন্দেহের চোখে তাকায়,Loading...
Non Misogynistic,মেয়েটির বাঁশির সুর হৃদয় ছোঁয়,Loading...
Derogation,এই মেয়ের মুখটা দেখলে মনে হয় পুরনো জুতার তলা,Loading...
Stereotype,আসলে অশিক্ষিত গ্রামের মেয়েদের ওপর শহরের মেয়েদের প্রভাব মারাত্মক।,Loading...
Non Misogynistic,"একটি শিক্ষিত মেয়ে শুধু নিজের নয়, পুরো পরিবারের ভবিষ্যৎ বদলে দিতে পারে।",Loading...
Sexual Harassment,মাগিদের সিডিউল সব সময় ফিলাপ থাকে কোন সময় খালি থাকে না,Loading...
Non Misogynistic,মেয়েটির প্রতিটি অর্জন অর্থপূর্ণ,Loading...
Sexual Harassment,"সব কয়টা নটি এক সাথে নাচতেছে, একজনের যদি খাটে পাইতাম",Loading...
Stereotype,নিজে শিক্ষিত হলেও রান্নাঘর তাদের জন্যই সাজানো — এটাই বাস্তব।,Loading...
Non Misogynistic,আপুর সৃজনশীলতা সত্যিই অসাধারণ,Loading...
Non Misogynistic,মেয়েটার ধৈর্য সত্যিই অনুকরণীয়,Loading...
Stereotype,গোপন তথ্য মেয়েদের কাছে দিলে তা বেশিদিন গোপন থাকে না—এমন ধারণা প্রচলিত।,Loading...
Stereotype,মেয়েরা পরিবারের কাছে অনেক বড় বোঝা,Loading...
Non Misogynistic,"মেয়েটা পড়ার ফাঁকে বাকিদের পড়াতেও সাহায্য করে, নিঃস্বার্থ মনোভাব।",Loading...
Non Misogynistic,নারী-পুরুষ সমতা নিশ্চিতে পরিবার থেকে রাষ্ট্র পর্যন্ত সবাইকে ভূমিকা রাখতে হবে।,Loading...
Sexual Harassment,ওড়না ছাড়া বাইরে বের হয়ে পুরুষদের দৃষ্টি আকর্ষণ করতে চাইছ নাকি?,Loading...
Stereotype,"মেয়ে মানুষ অধিকাংশ সময় রান্নাঘরে যত স্বাচ্ছন্দ্য, বাইরের জগতে ততটা মানিয়ে নিতে পারে না",Loading...
Stereotype,মেয়েরা সংসারের কথা মাথায় না রাখলে পরিবার ধ্বংস হয়ে যায়,Loading...
Stereotype,"দেখুন, অফিসগামী মেয়েরা সচরাচর অভিমানের সাগর হয়ে বসে থাকে, বাইরে যাওয়া বন্ধ, এটা মানতেই হবে।",Loading...
Derogation,ওই মেয়ের মুখে এত দাঁত যে হাসলে মনে হয় পিয়ানো বাজছে,Loading...
Derogation,এই মেয়েটা এত মোটা যে পথ চলতে গেলে রাস্তা সরে যায়,Loading...
Non Misogynistic,মেয়েটার সামাজিক সচেতনতামূলক কাজ অনেক পরিবারের জীবন বদলে দিয়েছে।,Loading...
Non Misogynistic,মেয়েটার সাফল্য তার পরিবার ও সম্প্রদায়কে আলোকিত করছে।,Loading...
Sexual Harassment,চামড়া সাদা হলে কি হবে দাতে এত ময়লা আর নিচের সোনায় কত হতে পারে সেটা তো বুঝতেই পারছি,Loading...
Derogation,এই মহিলা ভালো মেয়ের মুখোশ পরে আছে,Loading...
Stereotype,"যুগ যুগ ধরে দেখে আসছি, গোপন কথা মেয়েদের পেটে থাকে না",Loading...
Stereotype,মেয়েরা ই-স্পোর্টসে ছেলেদের সাথে পারবে না,Loading...
Stereotype,"মেয়ে সন্তান জন্ম নিলে সবাই মন খারাপ করবে, এটাই স্বাভাবিক",Loading...
Stereotype,"অভিজ্ঞতা বলে,মেয়ে হিসেবে রান্না না জানাটা সবচেয়ে বড় ব্যর্থতা — এটাই বাস্তব।",Loading...
Non Misogynistic,মেয়েদের নেতৃত্বে অর্থনীতি এগিয়ে যাবে,Loading...
Sexual Harassment,"মেয়েটা তো মাল, ৫০ হাজার দিলে রাতের জন্য পাওয়া যাবে",Loading...
Sexual Harassment,আপু ১৮+ ভিডিও থাকলে আপলোড করো আমরা দেখার জন্য বসে আছি,Loading...
Sexual Harassment,"এতো ছেলের সাথে রাত কাটিয়েছে, তাই তার অভিজ্ঞতা ভালো।",Loading...
Sexual Harassment,"এই নায়িকা ডান্সে এত খোলামেলা কেন, শাড়িটা একদম খুলে ফেলো",Loading...
Derogation,এই মেয়ের ছবি তুললে ক্যামেরা ভেঙে যাবে নাকি সন্দেহ হয়,Loading...
Non Misogynistic,আগে অভিনয় শিখতে হবে তারপর জাতীয় পুরস্কারের কথা চিন্তা করতে হবে।,Loading...
Derogation,এই মহিলার অভিজ্ঞতার অভাব কথায় ধরা পড়ে,Loading...
Sexual Harassment,বেটি এত কচি বয়সে পাহাড় এত বড় কীভাবে?,Loading...
Non Misogynistic,বোনের ভালোবাসা স্বার্থহীন,Loading...
Stereotype,"মেয়েরা পোশাক নিয়ে বেশি ভাবে, কাজ নিয়ে কম",Loading...
Non Misogynistic,মহিলা টেনিস খেলোয়াড় কোর্টে অসাধারণ পারফরম্যান্স দেখান,Loading...
Non Misogynistic,মেয়েটার ক্রীড়া দক্ষতা ও অদম্য মনোভাব তার সহখেলোয়াড়দের অনুপ্রেরণা দেয়।,Loading...
Sexual Harassment,মেয়েটা বিয়ের আগে কত ছেলের সাথে রাত কাটাইছে হিসাব নাই,Loading...
Derogation,ওর গোল্ড ডিগার শুধুমাত্র সুগার ড্যাডি পেয়েছে বলে বিয়ে করতে রাজি হইছে,Loading...
Non Misogynistic,আপুর অ্যাবস্ট্র্যাক্ট পেইন্টিং চিন্তার খোরাক,Loading...
Stereotype,"সবাই জানে, একা রেস্টুরেন্টে বসে থাকা মেয়েদের সবাই খারাপ চোখে দেখে",Loading...
Non Misogynistic,মেয়েটা নাচলো নাকি ইয়োগা করলো বুজলাম না,Loading...
Non Misogynistic,মেয়েটার সামাজিক উদ্যোগ সমাজে বৈষম্য কমাতে গুরুত্বপূর্ণ ভূমিকা রাখছে।,Loading...
Non Misogynistic,বিশ্ববিদ্যালয়ে মেয়েদের সংখ্যা বাড়া মানে দেশের শিক্ষার মান উন্নত হওয়া।,Loading...
Derogation,এই মহিলার মেধার চেয়ে মুখের জোর বেশি।,Loading...
Stereotype,"মেয়েরা সহজে প্রভাবিত হয়, নিজের মাথায় কিছু নেই",Loading...
Non Misogynistic,"মেয়েটা সমাজে পরিবর্তন আনতে একাই কাজ শুরু করেছিল, এখন অনেকে সাথে যোগ দিয়েছে।",Loading...
Stereotype,"মেয়েদের বয়স বাড়লে সৌন্দর্য কমে, তখন মান কমে যায়",Loading...
Derogation,বুড়ির ও আবার কচি ছেলে চাই,Loading...
Non Misogynistic,মেয়েটা যেকোনো পরিস্থিতিতে সমাধান খুঁজে বের করে।,Loading...
Derogation,এই পাগল মহিলা আবার কবে ছাড়া পাইলো পাবনা থেকে?,Loading...
Stereotype,"মেয়েরা ব্যর্থ হলে সেটা অন্যের দোষ, সফল হলে নিজের কৃতিত্ব",Loading...
Derogation,মেয়েটার কথার কোনো দাম নেই।,Loading...
Sexual Harassment,তোমার শরীর এর সুবাস আমাকে মাতাল করে দিয়েছে,Loading...
Stereotype,মেয়েরা প্রতিবাদ করলে সমাজ বলে লাগামছাড়া হয়ে গেছে,Loading...
Non Misogynistic,"মেয়েটা থানায় অভিযোগ করেছে, এটা তার সাহস ও আইনের প্রতি বিশ্বাসের প্রমাণ।",Loading...
Stereotype,"মেয়েদের বেতন নিজের হাতে রাখা উচিত না, স্বামীকে দিয়ে দেয়া উচিত",Loading...
Stereotype,ছেলের বউ মানেই হাতে হাতে কাজ করার মানুষ।,Loading...
Sexual Harassment,"তোর নিচেরটাও কুকুরের মতো কালো, কুত্তাই নেবে তোকে",Loading...
Stereotype,গ্রামের মেয়েদের উচিত বাবার পছন্দের পাত্রকেই জীবনসঙ্গী মেনে নেওয়া।,Loading...
Sexual Harassment,"এই নায়িকার চামড়া টাইট থাকলেই মার্কেটে চলবে, নইলে নয়",Loading...
Sexual Harassment,"সুন্দরীকে এক সপ্তাহের জন্য চাই আবাসিক হোটেলে, ১০ হাজার বুঝে নিও",Loading...
Derogation,ওই মেয়েকে যত ফর্সা হওয়ার ক্রিম মাখাক কাজ হবে না,Loading...
Stereotype,মেয়েরা পুলিশ হলে অপরাধী ভয় পায় না,Loading...
Stereotype,"আসলে মহিলা পাইলটের বিমান কতটা নিরাপদ, ভাবার বিষয়।",Loading...
Non Misogynistic,মেয়েটি বৃদ্ধাশ্রমের আবাসিকদের গল্প শোনেন,Loading...
Derogation,মেয়েটার মুখ থেকে মেকআপ উঠালে একটা ভূতই বের হবে,Loading...
Stereotype,বর্তমানে মেয়েরা ডিভোর্স নিয়ে ব্যবসা করে,Loading...
Stereotype,বাড়ির পুরুষের ইচ্ছা মেয়েরা মেনে চললেই সংসারে শান্তি — এই কথাটা কখনোই পুরোনো হবে না।,Loading...
Sexual Harassment,চামরা বেচা টাকা দিয়ে কিনাই যায় দামি দামি পোশাক,Loading...
Stereotype,"দেখুন, মেয়েদের বিয়ের বয়স একবার পেরিয়ে গেলে কেউ আর ফিরে তাকায় না।",Loading...
Non Misogynistic,মেয়েটা ইন্টার্নশিপের সুযোগ কাজে লাগিয়ে অনেক কিছু শিখে নিয়েছে।,Loading...
Stereotype,মেয়েরা রক্ত পিপাসু ডাইনি,Loading...
Sexual Harassment,এই নায়িকার পাহাড় টিপতে পারলে জীবন ধন্য হতো,Loading...
Non Misogynistic,বোনটির গণসঙ্গীতে সমাজের কথা ফুটে উঠেছে,Loading...
Non Misogynistic,দিদির অনলাইন কোর্স অনেকের কর্মসংস্থানে সাহায্য করেছে,Loading...
Derogation,মেয়েটার লেখার অবস্থা দেখলে বোঝা যায় শিক্ষা কতটুকু ব্যর্থ হয়েছে,Loading...
Derogation,"আন্টি, আপনি আগে পেটের ভুঁড়ি কমান",Loading...
Stereotype,"দেখো, তরুণী মেয়েদের উচিত রান্নাঘরের দায়িত্ব হাসিমুখে গ্রহণ করা।",Loading...
Sexual Harassment,মন থেকে উঠে গিয়ে ধনের উপরে গিয়া বসছেন,Loading...
Stereotype,মেয়েরা সংসার বাদ দিয়ে ক্যারিয়ার করতে চাইলে পরিবার ভেঙে যায়,Loading...
Derogation,মেয়েটার পরিবার তাকে মানুষ করতে পারেনি সেটা তার আচরণ দেখলেই বোঝা যায়।,Loading...
Derogation,এই মেয়েটা নায়িকা বলে নিজেকে মনে করে অথচ কোনো দক্ষতাই নেই,Loading...
Sexual Harassment,এই নায়িকা পল্লীতে গেলে আরো ভালো কাস্টমার পাবে,Loading...
Derogation,"তোরে দেখলে তো বমি আসে,তোরে কে ভালোবাসবে বল",Loading...
Non Misogynistic,মহিলা পরিবেশ সংরক্ষণকারীটি ঐতিহ্যবাহী বন রক্ষায় সফল আন্দোলন করেছেন।,Loading...
Non Misogynistic,পরিবারে মেয়েটার পেশাদার সাফল্যকে উদযাপন করা হয়।,Loading...
Derogation,এই মহিলার ফাইন্যান্সিয়াল রিপোর্ট দেখলে অ্যাকাউন্টেন্ট কান্না করবে।,Loading...
Stereotype,মেয়েরা শুধু ঘর পরিষ্কার করতে ভালো,Loading...
Stereotype,গলা ছেড়ে গান গাওয়া মেয়েরা বেহায়া,Loading...
Derogation,"মেয়েটা নিজের পেটের সাইজের সমান বড় বড় কথা বলছে , কতবড় বেয়াদপ",Loading...
Stereotype,টিকটক-রিল বানানো মেয়েদের সংসার করার উপযোগী মনে করা যায় না।,Loading...
Derogation,ওর মুখের মেকআপ উঠাতেই এক ডজন ভিম সাবানের দরকার হবে,Loading...
Derogation,এই মেয়ের কথা বলার ধরন দেখলে মনে হয় শিষ্টাচার শেখেনি,Loading...
Derogation,মেয়েটার অভিনয় দেখলে মনে হয় প্রথম দিন অভিনয় শিখছে,Loading...
Derogation,টাকার জন্য আর কত নিচে নামবেন আপু?,Loading...
Sexual Harassment,এই মহিলা কে কিনতে কত টাকা লাগবে?,Loading...
Non Misogynistic,এই বেডি যদি শিক্ষিত হইতো তাহলে কেউ আর কিছু করতে পারতো না,Loading...
Derogation,এই বেডির চোখের নিচে কালো দাগ দেখলে মনে হয় কবে শেষবার ঘুমিয়েছে।,Loading...
Stereotype,বেতন বেশি পাওয়া মেয়েদের যোগ্যতা নিয়ে প্রশ্ন ওঠে,Loading...
Sexual Harassment,"মালটারে সবাই খাইলো, এত্ত রস এই মহিলার খাবেই তো",Loading...
Stereotype,মেয়েরা টাকাপয়সা সামলাতে পারে না,Loading...
Stereotype,চাকরিজীবী মেয়েদের উচিত নিজের ব্যক্তিগত পরিচয়কে স্বামীর পরিচয়ের ছায়ায় গড়ে তোলা,Loading...
Sexual Harassment,"সুন্দরীর গোপন জায়গা বিক্রি করলে দাম বলো, ইনবক্সে অপেক্ষা করছি",Loading...
Derogation,মেয়েটা আস্তে কথা বললেও কেউ মনোযোগ দিয়ে শোনে না।,Loading...
Sexual Harassment,তোর বোন কে চোদার আমার খুব শখ,Loading...
Non Misogynistic,"আপু যে সততা দেখাইলা, ওইরকম সবাই পারে না",Loading...
Non Misogynistic,"মেয়েরা কী পোশাক পরবে, সেটা একান্তই তার নিজের ব্যাপার।",Loading...
Stereotype,মেয়েরা অফিসের পরিবেশ আবেগময় করে তোলে,Loading...
Stereotype,অপরিচিতদের সঙ্গে হেসে কথা বলা মেয়েদের লজ্জা নেই।,Loading...
Non Misogynistic,"তুমি শুধু সুন্দর না, একদম মায়াবীও",Loading...
Sexual Harassment,শোনো তোমার চলাফেরার উপর নির্ভর করে তোমার ইজ্জত আমি নষ্ট করবো নাকি করবো না,Loading...
Non Misogynistic,মেয়েদের সমান সুযোগ দেওয়া আর তাদের অধিকার নিশ্চিত করা একটিই কথা।,Loading...
Sexual Harassment,তোমার বিরাট পাহাড়ের নিচে বড় শহরে অনেকের অনেক আহার,Loading...
Sexual Harassment,"আপু নমিনেশন পেতে হলে হোটেলে রাত কাটাতে হয়, আসেন আমার কাছে",Loading...
Non Misogynistic,মেয়েটার আচরণে সম্মান প্রকাশ পায়,Loading...
Derogation,এই মেয়ে বস্তি থেকে এসে হঠাৎ ধনী হয়ে অহংকার শুরু করেছে,Loading...
Derogation,এই মহিলা সামনে মিষ্টি হেসে পেছনে ছুরি মারে,Loading...
Non Misogynistic,নারী মার্শাল আর্ট প্রশিক্ষক অনেক মেয়ের আত্মবিশ্বাস বাড়িয়েছেন,Loading...
Derogation,এই মহিলারে মানুষের সাথে মিশতে দিলে পরিস্থিতি নষ্ট হয়,Loading...
Non Misogynistic,মেয়েটি কঠিন প্রশ্নও সাহসের সাথে মোকাবেলা করে,Loading...
Sexual Harassment,মেয়েটার জিনিস কিন্তু কড়া,Loading...
Derogation,উফ মেয়েটার বকবকানি শুনলে মনে হয় রেডিও বন্ধ করা যাচ্ছে না,Loading...
Derogation,উনাকে কোন দিক থেকে নারী মনে হচ্ছে? উনার চেহারা পোশাক সকদিক থেকেই তো উনি পুরুষ,Loading...
Derogation,এই মেয়েরে অনুষ্ঠানে নিলে বিব্রত হতে হয়,Loading...
Derogation,মেয়েটার কাজের মান দেখে বোঝা যায় ট্রেনিং দরকার।,Loading...
Stereotype,মেয়েরা স্পোর্টস জার্নালিজমে গেলে লোকে বিশ্বাসযোগ্যতা পায় না,Loading...
Non Misogynistic,মহিলা পুনর্বাসন বিশেষজ্ঞটি দুর্যোগকবলিত এলাকায় অক্লান্তভাবে কাজ করছেন।,Loading...
Stereotype,মেয়েরা ফোনে বেশি সময় দিলে সংসারে অমনোযোগী হয়,Loading...
Stereotype,"নতুন প্রজন্মের মেয়েরা সংসার গোছানো ছাড়া আর কিছু ঠিকভাবে পারে না, এটা মানতেই হবে।",Loading...
Non Misogynistic,মহিলা ইউটিউবার শিক্ষামূলক কনটেন্ট দিয়ে সমাজে অবদান রাখছেন,Loading...
Stereotype,এত গলার জোর হবে কেনো মহিলা মানুষের?,Why do women have such loud voices?
Non Misogynistic,মহিলা উদ্যোক্তারা স্থানীয় অর্থনীতিতে গুরুত্বপূর্ণ অবদান রাখছেন।,Loading...
Stereotype,"মেয়েদের আবার কীসের ইনডিপেনডেন্ট হওয়া, ওরা ডিপেন্ড করে নিজের বাবা মা আর স্বামীর উপর",Loading...
Stereotype,মেয়েরা সমালোচনা পেলে কাজের বদলে মন খারাপ করে,Loading...
Non Misogynistic,দিদির সংযম অনুপ্রেরণাদায়ক,Loading...
Derogation,"সে কি আসলেই মহিলা, নাকি হিজড়া",Loading...
Stereotype,"বিয়ের পর চাকরি ছাড়লেই সংসার বাঁচে, তা না হলে সমাজ চলে কীভাবে?",Loading...
Non Misogynistic,"মেয়েটা নিজের সাফল্যের গল্প নিজেই লিখছে, এবং সেই গল্প অনুপ্রেরণাদায়ক।",Loading...
Derogation,তোর মতো অসভ্য মেয়েরা কিছু জানে না,Loading...
Derogation,"তুই একটা টয়লেটের জুতা, সবাই ব্যবহার করে।",Loading...
Sexual Harassment,ব্লাউজ ছাড়া শুধু ব্রা পড়ে আসলে আরো বেশি নজরে আসতো,Loading...
Stereotype,পোশাক দেখলেই বুঝা যায় কোন ধরনের মেয়ে,You can tell what kind of girl she is just by looking at her clothes.
Non Misogynistic,মেয়েটার সামাজিক সচেতনতামূলক কার্যক্রম হাজার হাজার মানুষকে উপকৃত করেছে।,Loading...
Stereotype,মেয়ের বিয়ে যত দেরিতে হয় পরিবারের চিন্তা তত বেড়ে যায় এটাই বাস্তব,Loading...
Derogation,এই মহিলার সীমাবদ্ধতা নিজে বুঝলে এত উচ্চাকাঙ্ক্ষা থাকত না,Loading...
Non Misogynistic,মেয়েটার কর্মোদ্যম ও মনোবল তাকে সবার মধ্যে আলাদা করে তোলে।,Loading...
Derogation,এই মহিলার অফিসের কাজ দেখলে মনে হয় প্রথমদিন এসেছে।,Loading...
Sexual Harassment,রেইপ হয়ে সেলিব্রিটি হয়ে গেল,Loading...
Sexual Harassment,"আপু হোটেলে কাজ করো, কষ্ট কম টাকা বেশি",Loading...
Sexual Harassment,"সবার নজর নাভির দিকে, ওফ কি যে লাগছে",Loading...
Stereotype,মেয়েদের সবাই শুধু ভিজ্যুয়াল অ্যাট্রাকশন হিসেবে দেখে,Loading...
Derogation,ঠোঁট বাকা প্রতিবন্ধী মেয়ের মতো লাগছে,Loading...
Non Misogynistic,"কখনো নালিশ করে না, নিজেই সামলে নেয় সব, এটাই একটা মেয়ের গুণ।",Loading...
Sexual Harassment,মামণির পাহাড় ছাড়া ভিডিওতে কিছুই নড়ছে না,Loading...
Stereotype,আধুনিক মেয়েদের উচিত পরিবারের আদর্শ মেনে পোশাক পরা।,Loading...
Derogation,এই মেয়েটা মিথ্যা বলতে বলতে নিজেও ভুলে গেছে সত্যিটা কী,Loading...
Sexual Harassment,এই বেডির ফিগার দেখলে মনে হয় হ্যাঙ্গারে ঝোলানো জামা।,Loading...
Stereotype,"অভিজ্ঞতা বলে, ট্যাক্স-ইনসিউরেন্স বুঝতে মেয়েদের লাগে দিন-রাত।",Loading...
Sexual Harassment,"আপনার দুধগুলো ধরে একটু টিপে দিই, জ্বালা মিটবে",Loading...
Derogation,মেয়েটার সামান্য সমস্যায় ভেঙে পড়া দেখলে কষ্ট লাগে না বরং বিরক্ত লাগে,Loading...
Derogation,মেয়েটার হাঁটার স্টাইল দেখে মনে হয় ব্যাঙ লাফ দিচ্ছে।,Loading...
Stereotype,মেয়েরা নেতৃত্ব দেওয়ার সময় সঠিক সিদ্ধান্ত নিতে পারে না,Loading...
Stereotype,মেয়ে হয়ে এত আয় করলে ভালো বর পাবে না,Loading...
Stereotype,মেয়েরা স্ট্র্যাটেজিক চিন্তায় পিছিয়ে থাকে,Loading...
Stereotype,নিজের পছন্দে জীবন সাজানোর অধিকার মেয়েদের নেই।,Loading...
Derogation,মেয়েটার সরলতা আসলে বোকামি,Loading...
Derogation,এই মহিলার সাথে দলে থাকলে হারা মানে নিশ্চিত।,Loading...
Non Misogynistic,আপুর জ্ঞানের ভাণ্ডার অনেক সমৃদ্ধ,Loading...
Stereotype,"মেয়েরা অফিসে রাজনীতি বেশি করে, এজন্যই পদোন্নতি পায়",Loading...
Stereotype,মেয়েদের সবাই শুধু শরীর আর সৌন্দর্য দিয়ে দেখে,Loading...
Sexual Harassment,"এই মডেল মডেলিং করে না, ছেলেদের দুধ দেখায়",Loading...
Non Misogynistic,বোনটির আগমনে পরিবেশ আনন্দময় হয়,Loading...
Sexual Harassment,কাপড় খোলার সময় কাকে পাশে নিয়েছিলেন?,Loading...
Non Misogynistic,মেয়েটার লোকনৃত্য সংস্কৃতির পরিচয় বহন করে,Loading...
Non Misogynistic,বোনটির স্বচ্ছ আচরণ আস্থা তৈরি করে,Loading...
Derogation,"এই মহিলার শরীরে একটুও মাংস নেই, হাড় গণনা করা যায়।",Loading...
Non Misogynistic,"মেয়েটার কণ্ঠে এই গজলটা শুনে চুপ করে বসে রইলাম, এতো স্নিগ্ধ লাগলো",Loading...
Derogation,এই মেয়ের বাপ মার ঠিক নাই,Loading...
Derogation,করে তো বাংলা নাটক কিন্তু ভাব দেখলে মনে হয় হলিউড অভিনেত্রী,Loading...
